number,event_time,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built
14945,2024-12-12T02:54:13Z,2014,839000,4,2,12469,2400,1,4,8,1760,640,1958
18292,2024-12-12T02:54:13Z,2014,259000,3,2,14046,1610,2,3,7,1610,0,1933
17846,2024-12-12T02:54:13Z,2015,700000,4,1,5450,1470,1,3,7,1470,0,1918
21033,2024-12-12T02:54:13Z,2014,1049990,5,3,9588,4240,2,3,9,4240,0,2014
17008,2024-12-12T02:54:13Z,2014,370000,4,2,5706,2650,2,3,9,2650,0,2005
1803,2024-12-12T02:54:13Z,2015,1135000,4,3,11444,4130,2,3,11,4130,0,2001
1634,2024-12-12T02:54:13Z,2014,415000,3,1,5650,2380,1,4,8,1190,1190,1956
12729,2024-12-12T02:54:13Z,2014,559950,4,2,7200,2650,2,3,8,2250,400,1979
4083,2024-12-12T02:54:13Z,2014,246700,3,2,13309,1610,1,4,7,1610,0,1967
19015,2024-12-12T02:54:13Z,2014,581000,2,1,11200,1930,1,3,8,1430,500,1951
3362,2024-12-12T02:54:13Z,2014,542000,3,1,8030,1070,1,3,7,1070,0,1966
6725,2024-12-12T02:54:13Z,2015,703300,3,2,3525,1980,1,4,8,1590,390,1932
15722,2024-12-12T02:54:13Z,2015,1675000,5,3,19080,4560,1,5,9,2490,2070,1963
5819,2024-12-12T02:54:13Z,2015,570000,3,1,9000,2390,1,3,8,1500,890,1975
3979,2024-12-12T02:54:13Z,2014,218000,3,1,7560,1140,1,4,6,1140,0,1958
10675,2024-12-12T02:54:13Z,2014,257700,4,2,6202,1600,2,4,7,1600,0,1986
918,2024-12-12T02:54:13Z,2014,270000,2,1,10320,1000,1,3,6,1000,0,1943
15000,2024-12-12T02:54:13Z,2015,289000,2,1,6300,710,1,3,6,710,0,1942
14393,2024-12-12T02:54:13Z,2015,760000,3,2,4500,1810,1,4,7,980,830,1906
1871,2024-12-12T02:54:13Z,2014,247500,4,2,5921,2460,1,4,7,1230,1230,1948
6334,2024-12-12T02:54:13Z,2015,455850,3,2,6000,1820,1,4,7,1120,700,1964
15027,2024-12-12T02:54:13Z,2014,470000,3,3,2381,1710,2,3,8,1360,350,2003
16782,2024-12-12T02:54:13Z,2014,150000,3,1,25000,1010,1,3,6,1010,0,1966
17009,2024-12-12T02:54:13Z,2014,230000,5,1,9000,1410,1,5,7,1410,0,1967
6277,2024-12-12T02:54:13Z,2014,435000,2,1,12142,1910,1,3,9,1910,0,1976
17615,2024-12-12T02:54:13Z,2015,293000,3,2,7577,1990,2,3,7,1990,0,1990
17549,2024-12-12T02:54:13Z,2014,349950,2,1,4176,1640,1,4,7,1040,600,1948
5298,2024-12-12T02:54:13Z,2014,243400,4,1,7464,1730,2,4,7,1730,0,1959
14963,2024-12-12T02:54:13Z,2015,805000,4,2,4500,1890,1,3,7,1490,400,1907
5326,2024-12-12T02:54:13Z,2015,774000,4,2,10240,2830,2,4,9,2830,0,1998
11365,2024-12-12T02:54:13Z,2014,317000,6,3,5840,2120,2,5,7,2120,0,1979
16536,2024-12-12T02:54:13Z,2015,369000,2,1,6135,1320,1,4,7,880,440,1942
9266,2024-12-12T02:54:13Z,2014,347000,2,2,1705,1560,2,3,8,1270,290,2006
287,2024-12-12T02:54:13Z,2015,405000,3,1,6720,1670,1,3,7,1140,530,1980
15435,2024-12-12T02:54:13Z,2014,500000,2,1,12000,1760,1,4,7,1760,0,1964
6925,2024-12-12T02:54:13Z,2014,345000,3,1,38095,1240,1,3,7,1240,0,1978
6865,2024-12-12T02:54:13Z,2015,550000,2,1,3000,1070,1,4,7,870,200,1926
3056,2024-12-12T02:54:13Z,2015,575000,3,2,5000,940,1,3,7,880,60,1941
11528,2024-12-12T02:54:13Z,2014,265000,2,1,2828,1290,2,3,7,1290,0,2008
18485,2024-12-12T02:54:13Z,2014,529000,3,2,3400,1530,1,3,7,990,540,1907
8218,2024-12-12T02:54:13Z,2014,490000,3,1,9247,1560,1,3,7,1160,400,1989
2405,2024-12-12T02:54:13Z,2015,603000,3,2,2800,1700,2,5,7,1150,550,1926
18466,2024-12-12T02:54:13Z,2014,285000,2,1,8155,910,1,4,6,910,0,1948
13868,2024-12-12T02:54:13Z,2014,207000,3,1,18730,1980,1,4,7,1280,700,1943
1503,2024-12-12T02:54:13Z,2015,612000,6,3,14040,3840,1,3,8,2460,1380,1949
6635,2024-12-12T02:54:13Z,2014,400000,3,2,7216,1350,1,3,7,1350,0,1964
8628,2024-12-12T02:54:13Z,2015,833450,5,4,269345,4460,2,3,9,3330,1130,1996
17060,2024-12-12T02:54:13Z,2014,700000,5,2,9825,3100,2,4,8,3100,0,1950
13103,2024-12-12T02:54:13Z,2014,453000,3,2,1838,1650,2,4,7,1270,380,1991
13095,2024-12-12T02:54:13Z,2014,666570,4,2,7400,2320,1,5,7,1620,700,1913
14416,2024-12-12T02:54:13Z,2015,510000,3,2,8133,1830,1,3,8,1390,440,1996
5953,2024-12-12T02:54:13Z,2014,705000,4,2,6222,3000,2,3,9,3000,0,2004
6380,2024-12-12T02:54:13Z,2015,356000,3,1,2366,940,1,3,6,940,0,1916
5589,2024-12-12T02:54:13Z,2014,1880000,3,2,17919,2620,1,4,9,2620,0,1949
10523,2024-12-12T02:54:13Z,2015,310000,3,1,6500,1520,1,3,7,990,530,1958
4635,2024-12-12T02:54:13Z,2014,2485000,4,2,23954,3440,1,5,10,2260,1180,1931
6033,2024-12-12T02:54:13Z,2014,500000,4,2,8640,1700,1,3,7,850,850,1955
2777,2024-12-12T02:54:13Z,2014,325900,3,2,9765,2040,2,3,8,2040,0,1985
9423,2024-12-12T02:54:13Z,2015,375000,3,1,7425,1210,1,4,6,1210,0,1910
21289,2024-12-12T02:54:13Z,2014,392000,5,2,5670,2340,2,3,7,2340,0,2009
21262,2024-12-12T02:54:13Z,2014,559000,2,3,960,1650,3,3,8,1350,300,2015
19559,2024-12-12T02:54:13Z,2014,400000,3,1,4084,900,1,3,7,900,0,1910
12965,2024-12-12T02:54:13Z,2014,672000,3,1,8573,1220,1,4,7,1220,0,1954
1395,2024-12-12T02:54:13Z,2014,545000,4,2,35040,3410,2,3,9,3410,0,1984
8526,2024-12-12T02:54:13Z,2015,320000,3,1,6180,960,1,4,6,960,0,1910
14322,2024-12-12T02:54:13Z,2014,480000,5,1,217800,2080,1,5,7,2080,0,1963
15769,2024-12-12T02:54:13Z,2014,642000,3,1,4480,1040,1,3,7,870,170,1924
13451,2024-12-12T02:54:13Z,2014,320000,4,2,10051,2000,2,3,7,2000,0,1997
749,2024-12-12T02:54:13Z,2014,435000,4,1,6460,1510,1,3,7,1070,440,1970
10520,2024-12-12T02:54:13Z,2014,230000,2,1,9435,1080,1,3,6,1080,0,1958
2168,2024-12-12T02:54:13Z,2015,345000,5,2,4182,1940,1,3,7,1240,700,2002
18674,2024-12-12T02:54:13Z,2014,275000,3,2,6326,2030,2,3,7,2030,0,1993
6341,2024-12-12T02:54:13Z,2015,490000,3,2,9622,2040,2,3,8,2040,0,1995
6484,2024-12-12T02:54:13Z,2015,425500,4,1,10630,1520,1,4,7,1520,0,1967
1497,2024-12-12T02:54:13Z,2014,499950,3,3,1991,1820,2,3,8,1430,390,2014
15816,2024-12-12T02:54:13Z,2015,230500,2,1,8853,740,1,3,6,740,0,1943
14130,2024-12-12T02:54:13Z,2014,385000,2,1,4000,1010,1,3,6,1010,0,1911
20242,2024-12-12T02:54:13Z,2015,392440,4,2,4800,2547,2,3,9,2547,0,2014
11558,2024-12-12T02:54:13Z,2015,804000,4,2,5060,2620,2,3,9,2620,0,2005
15676,2024-12-12T02:54:13Z,2014,346000,3,1,9636,1590,1,4,6,1590,0,1953
10772,2024-12-12T02:54:13Z,2015,725000,4,2,13950,2750,1,4,8,1380,1370,1948
18388,2024-12-12T02:54:13Z,2014,474000,2,1,3160,1090,1,3,7,840,250,1926
10385,2024-12-12T02:54:13Z,2014,1228000,4,2,44947,5730,2,3,11,4280,1450,1991
12687,2024-12-12T02:54:13Z,2015,209950,3,1,9600,2290,1,4,7,2290,0,1967
2393,2024-12-12T02:54:13Z,2014,449950,4,3,6977,2800,2,3,8,2800,0,2003
18812,2024-12-12T02:54:13Z,2014,345000,3,1,8571,3140,1,4,8,1670,1470,1985
4456,2024-12-12T02:54:13Z,2015,790000,2,1,4400,1940,1,3,7,970,970,1923
20557,2024-12-12T02:54:13Z,2015,258800,2,1,1624,1290,2,3,8,1290,0,2014
19266,2024-12-12T02:54:13Z,2014,302000,2,1,5000,890,1,4,6,890,0,1947
13735,2024-12-12T02:54:13Z,2015,1015000,5,2,4000,2350,2,3,9,2350,0,1993
15380,2024-12-12T02:54:13Z,2015,375000,4,2,7403,1430,1,3,7,1030,400,1982
2618,2024-12-12T02:54:13Z,2014,1165000,3,3,5001,3790,2,3,10,2810,980,1989
14776,2024-12-12T02:54:13Z,2015,472500,3,2,6800,1790,1,4,7,1240,550,1964
3884,2024-12-12T02:54:13Z,2015,440000,3,1,16851,2840,1,3,8,1600,1240,1950
12855,2024-12-12T02:54:13Z,2014,435000,3,2,12744,2360,2,5,7,2360,0,1964
18001,2024-12-12T02:54:13Z,2015,300000,3,2,12282,2340,1,3,8,1470,870,1978
12494,2024-12-12T02:54:13Z,2014,660000,3,2,5750,2080,1,5,7,1040,1040,1926
15421,2024-12-12T02:54:13Z,2014,685000,4,2,45514,2770,2,4,9,2770,0,1989
18273,2024-12-12T02:54:13Z,2014,921000,4,1,9496,2220,1,4,7,1490,730,1954
4951,2024-12-12T02:54:13Z,2015,386500,4,2,5048,3110,2,3,8,3110,0,2002
18168,2024-12-12T02:54:13Z,2014,252000,3,1,9730,1170,1,3,7,1170,0,1968
17591,2024-12-12T02:54:13Z,2014,355000,3,1,8968,1360,1,3,7,1360,0,1956
3167,2024-12-12T02:54:13Z,2014,700000,2,1,17635,1160,1,3,6,1160,0,1945
4651,2024-12-12T02:54:13Z,2014,125000,1,1,7440,500,1,1,5,500,0,1928
2527,2024-12-12T02:54:13Z,2014,627000,4,2,7712,1990,1,3,8,1210,780,1973
1432,2024-12-12T02:54:13Z,2014,265000,2,1,4000,760,1,4,6,760,0,1950
10741,2024-12-12T02:54:13Z,2014,205000,3,0,5025,1080,1,3,5,1080,0,1948
12731,2024-12-12T02:54:13Z,2014,575000,2,1,2726,1230,1,3,7,880,350,1920
6487,2024-12-12T02:54:13Z,2015,410000,5,2,16410,2910,1,4,8,2910,0,1967
1865,2024-12-12T02:54:13Z,2015,370000,4,2,19680,2100,1,3,6,2100,0,1914
18506,2024-12-12T02:54:13Z,2014,340000,3,1,11986,1730,1,5,6,1730,0,1918
1040,2024-12-12T02:54:13Z,2015,218500,2,1,8961,1600,1,4,7,1390,210,1949
16265,2024-12-12T02:54:13Z,2014,847000,5,1,4623,2550,2,4,9,2550,0,1905
3633,2024-12-12T02:54:13Z,2014,406500,3,2,68479,1840,1,3,8,1340,500,1989
16055,2024-12-12T02:54:13Z,2014,500000,4,2,7210,2350,1,4,7,2350,0,1972
14583,2024-12-12T02:54:13Z,2014,417000,3,1,10224,1340,1,4,7,1340,0,1956
5063,2024-12-12T02:54:13Z,2014,1100000,4,3,60123,5070,2,3,11,5070,0,2000
919,2024-12-12T02:54:13Z,2014,290000,5,1,7700,2120,1,5,7,2120,0,1962
19578,2024-12-12T02:54:13Z,2015,270950,2,1,6250,780,1,3,6,780,0,1942
3745,2024-12-12T02:54:13Z,2014,740000,6,2,10250,3140,1,4,8,1570,1570,1959
3039,2024-12-12T02:54:13Z,2015,2298000,4,4,13860,4070,2,3,10,4070,0,2004
19472,2024-12-12T02:54:13Z,2014,216500,3,1,11652,1020,1,4,6,1020,0,1971
20362,2024-12-12T02:54:13Z,2014,420000,5,3,3149,2630,2,3,8,1670,960,2013
19635,2024-12-12T02:54:13Z,2014,921800,4,2,7024,2950,2,3,10,2950,0,2012
1322,2024-12-12T02:54:13Z,2014,279950,3,1,11234,1510,1,3,7,1210,300,1965
19718,2024-12-12T02:54:13Z,2014,495000,4,2,12075,2980,1,3,8,1910,1070,2007
8283,2024-12-12T02:54:13Z,2014,296000,2,2,2040,1320,3,3,7,1320,0,1997
18905,2024-12-12T02:54:13Z,2014,400000,3,1,7800,1000,1,4,6,860,140,1930
5065,2024-12-12T02:54:13Z,2014,1085000,3,1,4000,2560,1,5,8,1660,900,1927
7285,2024-12-12T02:54:13Z,2015,474950,4,1,15400,2030,1,3,9,1130,900,1975
1664,2024-12-12T02:54:13Z,2014,830000,3,2,6550,3370,2,4,8,2840,530,1912
8484,2024-12-12T02:54:13Z,2014,240000,0,2,5669,1810,2,3,7,1810,0,2003
20809,2024-12-12T02:54:13Z,2014,799900,4,4,18223,3650,2,3,9,3330,320,2013
7790,2024-12-12T02:54:13Z,2014,182000,3,1,7350,1060,1,4,7,1060,0,1959
8593,2024-12-12T02:54:13Z,2014,1150000,3,2,34848,3250,1,3,10,2260,990,2006
4696,2024-12-12T02:54:13Z,2014,1075000,5,4,17811,5180,2,3,11,4070,1110,2001
17027,2024-12-12T02:54:13Z,2014,445000,4,2,21780,1700,1,4,6,1080,620,1940
17974,2024-12-12T02:54:13Z,2015,200000,3,1,10703,1200,1,2,7,1200,0,1918
12845,2024-12-12T02:54:13Z,2015,737000,3,2,7800,2300,2,3,9,2300,0,1997
17423,2024-12-12T02:54:13Z,2015,565000,4,2,8281,2040,2,3,7,2040,0,1961
19095,2024-12-12T02:54:13Z,2014,665000,3,1,5102,1650,1,4,8,1300,350,1953
1275,2024-12-12T02:54:13Z,2014,363000,2,2,1201,920,2,3,8,800,120,2009
8043,2024-12-12T02:54:13Z,2015,480000,3,1,21375,2920,1,3,8,1850,1070,1961
11299,2024-12-12T02:54:13Z,2014,740000,4,1,3600,2010,1,3,7,2010,0,1902
12022,2024-12-12T02:54:13Z,2014,432500,3,2,6396,2240,2,3,7,2240,0,2002
5746,2024-12-12T02:54:13Z,2015,267000,3,2,9900,2510,1,3,8,1610,900,1978
17605,2024-12-12T02:54:13Z,2014,183000,3,1,5200,870,1,5,6,870,0,1969
4847,2024-12-12T02:54:13Z,2015,440000,3,2,3738,2160,2,3,8,2160,0,1994
12923,2024-12-12T02:54:13Z,2014,590000,4,2,35010,2660,2,3,9,2660,0,1993
7557,2024-12-12T02:54:13Z,2014,578000,3,1,4500,1500,1,3,7,1120,380,1938
5768,2024-12-12T02:54:13Z,2015,638250,4,2,8029,2460,2,3,9,2460,0,1989
7670,2024-12-12T02:54:13Z,2015,694000,2,2,9311,2320,1,3,8,2320,0,2007
16692,2024-12-12T02:54:13Z,2015,540000,3,2,3135,1670,2,3,8,1220,450,2002
11755,2024-12-12T02:54:13Z,2014,250000,3,2,5457,1440,2,3,7,1440,0,1986
7789,2024-12-12T02:54:13Z,2014,245000,4,1,8800,2020,1,4,8,2020,0,1969
11688,2024-12-12T02:54:13Z,2014,597500,3,1,32565,2030,1,3,8,1600,430,1981
5702,2024-12-12T02:54:13Z,2014,2466350,5,4,13180,6390,2,3,10,4560,1830,1940
13791,2024-12-12T02:54:13Z,2014,705000,2,2,6840,1650,1,5,7,1650,0,1916
15292,2024-12-12T02:54:13Z,2015,324800,2,1,5043,1170,1,3,6,880,290,1949
11610,2024-12-12T02:54:13Z,2015,625000,4,1,5000,2120,2,4,8,2120,0,1900
6194,2024-12-12T02:54:13Z,2014,350000,4,2,13755,2260,1,4,9,2260,0,1975
5348,2024-12-12T02:54:13Z,2015,767500,4,2,4815,2350,1,4,7,1450,900,1914
12467,2024-12-12T02:54:13Z,2014,728000,4,2,13684,2650,2,3,9,2650,0,1994
14431,2024-12-12T02:54:13Z,2015,735000,3,1,11520,2250,1,3,8,2250,0,1956
9732,2024-12-12T02:54:13Z,2014,550000,7,4,8100,3440,2,3,7,3440,0,1970
21024,2024-12-12T02:54:13Z,2015,870000,5,3,10079,4495,2,3,9,3580,915,2013
7434,2024-12-12T02:54:13Z,2015,312500,4,2,8755,2160,2,3,7,2160,0,1993
2646,2024-12-12T02:54:13Z,2014,656000,3,1,7475,1480,1,3,8,1480,0,1943
19439,2024-12-12T02:54:13Z,2014,505000,2,3,10800,2770,1,5,8,1910,860,1984
