number,event_time,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built
8290,2024-12-12T02:54:13Z,2015,419900,3,2,1630,1755,2,3,8,1320,310,1997
16722,2024-12-12T02:54:13Z,2014,340000,4,2,2020,32710,1,3,7,1070,950,1941
13566,2024-12-12T02:54:13Z,2014,806000,4,2,3370,9629,2,3,10,3370,0,1999
15076,2024-12-12T02:54:13Z,2015,358800,4,2,2155,8140,2,3,8,2155,0,1996
20959,2024-12-12T02:54:13Z,2014,407000,4,2,2927,6000,2,3,7,2927,0,2011
4860,2024-12-12T02:54:13Z,2014,596000,4,2,2270,10000,1,5,8,1720,550,1974
6617,2024-12-12T02:54:13Z,2015,829900,4,3,3840,4000,2,3,8,2640,1200,2001
14557,2024-12-12T02:54:13Z,2014,350000,3,1,1020,4980,1,4,7,850,170,1941
3734,2024-12-12T02:54:13Z,2015,800000,4,2,3100,7807,2,3,9,3100,0,2003
2042,2024-12-12T02:54:13Z,2014,440000,2,1,1010,1968,1,5,5,1010,0,1906
18886,2024-12-12T02:54:13Z,2014,511200,4,1,1480,7875,1,3,7,740,740,1927
12794,2024-12-12T02:54:13Z,2014,726000,3,2,2040,10033,1,4,8,1420,620,1974
2790,2024-12-12T02:54:13Z,2014,1610000,5,3,3530,13260,2,3,10,3530,0,2013
11601,2024-12-12T02:54:13Z,2015,625000,4,1,2180,4431,1,3,8,2020,160,1912
8823,2024-12-12T02:54:13Z,2014,425000,2,2,1280,4095,2,4,8,1280,0,1918
3690,2024-12-12T02:54:13Z,2015,132500,3,0,850,8573,1,3,6,600,250,1945
18602,2024-12-12T02:54:13Z,2014,283450,5,2,2770,6116,1,3,7,1490,1280,1979
5812,2024-12-12T02:54:13Z,2014,652000,3,2,2130,5000,1,5,7,1330,800,1925
9579,2024-12-12T02:54:13Z,2014,545000,3,2,1940,9775,1,3,8,1440,500,1975
21058,2024-12-12T02:54:13Z,2014,300000,3,3,1470,1235,2,3,7,1180,290,2008
5201,2024-12-12T02:54:13Z,2015,285900,5,1,1690,7725,1,4,7,1690,0,1961
14166,2024-12-12T02:54:13Z,2014,568450,5,3,3260,58806,2,4,8,3260,0,1969
4796,2024-12-12T02:54:13Z,2015,605000,3,2,3230,9576,1,4,8,3230,0,1966
15957,2024-12-12T02:54:13Z,2014,693000,3,2,2120,13644,2,4,9,1420,700,1973
14490,2024-12-12T02:54:13Z,2014,250000,4,1,1510,5500,1,3,7,1510,0,1920
13045,2024-12-12T02:54:13Z,2014,435000,3,1,1740,6988,1,3,7,1600,140,1950
9767,2024-12-12T02:54:13Z,2014,366000,3,1,1510,8301,1,3,7,1510,0,1967
431,2024-12-12T02:54:13Z,2014,988000,4,3,4040,19700,2,3,11,4040,0,1987
6201,2024-12-12T02:54:13Z,2015,275000,2,1,840,4000,1,3,6,840,0,1942
15180,2024-12-12T02:54:13Z,2014,2200000,4,3,3790,7200,2,3,10,2530,1260,1931
7951,2024-12-12T02:54:13Z,2014,585000,4,1,2270,27122,1,5,8,1300,970,1957
378,2024-12-12T02:54:13Z,2015,595000,4,2,2020,2849,2,3,7,2020,0,1960
8197,2024-12-12T02:54:13Z,2014,500000,3,1,1540,10800,1,5,6,770,770,1947
2276,2024-12-12T02:54:13Z,2014,288350,3,1,1860,7963,1,3,7,1200,660,1963
4371,2024-12-12T02:54:13Z,2014,499950,4,1,1520,7700,1,4,7,1520,0,1967
1011,2024-12-12T02:54:13Z,2014,475000,3,1,2020,8970,1,4,7,1180,840,1981
20387,2024-12-12T02:54:13Z,2014,580000,3,2,1620,1173,3,3,8,1470,150,2008
17148,2024-12-12T02:54:13Z,2015,204250,3,2,1960,7708,1,4,7,1490,470,1984
9559,2024-12-12T02:54:13Z,2015,453000,3,1,1550,7200,1,3,7,1100,450,1949
812,2024-12-12T02:54:13Z,2015,347000,3,2,1680,4308,2,3,7,1680,0,2004
8206,2024-12-12T02:54:13Z,2014,249000,3,1,1752,14626,2,3,8,1752,0,2005
2054,2024-12-12T02:54:13Z,2014,297000,3,2,1690,4988,2,3,7,1690,0,2002
3263,2024-12-12T02:54:13Z,2014,691500,4,2,2600,7200,2,3,7,2600,0,1962
13577,2024-12-12T02:54:13Z,2014,635000,3,1,1940,167125,1,4,7,1480,460,1955
14167,2024-12-12T02:54:13Z,2014,619000,4,1,1660,3800,1,3,7,1660,0,1926
2723,2024-12-12T02:54:13Z,2014,438000,3,1,1200,4000,1,4,6,1200,0,1923
4816,2024-12-12T02:54:13Z,2014,475000,4,2,2240,7245,1,4,7,1140,1100,1972
8157,2024-12-12T02:54:13Z,2014,220000,3,1,1460,10200,1,4,7,1460,0,1957
13740,2024-12-12T02:54:13Z,2014,750000,4,2,3210,8938,2,3,10,3210,0,2005
18000,2024-12-12T02:54:13Z,2014,212000,3,1,1830,12233,1,4,5,1830,0,1930
10315,2024-12-12T02:54:13Z,2014,402000,5,2,2770,7620,1,3,7,1700,1070,1965
8797,2024-12-12T02:54:13Z,2014,715000,4,2,2450,7700,1,3,8,1250,1200,1958
17644,2024-12-12T02:54:13Z,2015,239950,2,1,1068,1452,2,3,7,1068,0,1990
8568,2024-12-12T02:54:13Z,2015,750000,5,2,3120,15593,2,3,11,3120,0,1986
6306,2024-12-12T02:54:13Z,2014,313000,2,1,1180,4900,1,5,6,1180,0,1954
2829,2024-12-12T02:54:13Z,2015,145600,3,1,1170,7560,1,3,6,1170,0,1958
20994,2024-12-12T02:54:13Z,2015,650000,2,2,1470,690,3,3,8,1470,0,2008
16068,2024-12-12T02:54:13Z,2014,1250000,5,2,3710,13874,1,4,9,2340,1370,1977
12353,2024-12-12T02:54:13Z,2014,275000,3,1,1060,6954,1,4,6,1060,0,1983
18508,2024-12-12T02:54:13Z,2014,115000,2,0,550,7980,1,3,5,550,0,1952
10312,2024-12-12T02:54:13Z,2014,398000,3,1,1480,6550,1,4,6,1480,0,1925
19886,2024-12-12T02:54:13Z,2014,700000,4,3,4490,5099,2,3,9,3390,1100,2006
3027,2024-12-12T02:54:13Z,2015,273500,3,1,1560,8314,1,3,7,1560,0,1962
7869,2024-12-12T02:54:13Z,2014,231200,3,2,1400,8821,1,3,7,1400,0,1991
3165,2024-12-12T02:54:13Z,2014,452250,4,2,2550,10000,1,4,7,1560,990,1979
14251,2024-12-12T02:54:13Z,2015,196000,3,1,1090,7400,1,4,7,1090,0,1962
6969,2024-12-12T02:54:13Z,2015,447500,2,2,1180,2090,2,3,7,1180,0,2004
4711,2024-12-12T02:54:13Z,2014,572500,3,1,1590,4600,1,4,7,1290,300,1926
11643,2024-12-12T02:54:13Z,2015,491000,3,2,1250,1306,3,3,7,1250,0,2000
18511,2024-12-12T02:54:13Z,2014,1650000,4,2,3190,14904,1,4,9,1940,1250,1949
16529,2024-12-12T02:54:13Z,2014,505000,4,2,2780,6369,1,3,8,1590,1190,1978
1736,2024-12-12T02:54:13Z,2014,379500,3,2,2070,14196,2,3,7,2070,0,1989
20814,2024-12-12T02:54:13Z,2015,312000,3,2,1780,4077,2,3,8,1780,0,2011
21570,2024-12-12T02:54:13Z,2014,330000,3,2,1450,5008,1,3,7,840,610,2007
13981,2024-12-12T02:54:13Z,2014,235000,3,1,1250,7592,1,5,7,1250,0,1961
19777,2024-12-12T02:54:13Z,2015,2641100,5,4,4660,16200,2,3,11,4660,0,2005
14244,2024-12-12T02:54:13Z,2015,275000,3,1,1290,9760,1,3,7,1290,0,1979
9925,2024-12-12T02:54:13Z,2015,1200000,4,2,2320,13114,2,5,8,2320,0,1967
12545,2024-12-12T02:54:13Z,2014,735000,3,2,3020,50800,1,5,8,1510,1510,1968
17878,2024-12-12T02:54:13Z,2015,560000,3,1,1570,4375,1,3,7,970,600,1940
17720,2024-12-12T02:54:13Z,2014,559900,5,3,2200,6380,1,3,7,1440,760,1987
14834,2024-12-12T02:54:13Z,2014,240000,3,1,1280,9000,1,4,6,1280,0,1954
14945,2024-12-12T02:54:13Z,2014,839000,4,2,2400,12469,1,4,8,1760,640,1958
18292,2024-12-12T02:54:13Z,2014,259000,3,2,1610,14046,2,3,7,1610,0,1933
17846,2024-12-12T02:54:13Z,2015,700000,4,1,1470,5450,1,3,7,1470,0,1918
21033,2024-12-12T02:54:13Z,2014,1049990,5,3,4240,9588,2,3,9,4240,0,2014
17008,2024-12-12T02:54:13Z,2014,370000,4,2,2650,5706,2,3,9,2650,0,2005
1803,2024-12-12T02:54:13Z,2015,1135000,4,3,4130,11444,2,3,11,4130,0,2001
1634,2024-12-12T02:54:13Z,2014,415000,3,1,2380,5650,1,4,8,1190,1190,1956
12729,2024-12-12T02:54:13Z,2014,559950,4,2,2650,7200,2,3,8,2250,400,1979
4083,2024-12-12T02:54:13Z,2014,246700,3,2,1610,13309,1,4,7,1610,0,1967
19015,2024-12-12T02:54:13Z,2014,581000,2,1,1930,11200,1,3,8,1430,500,1951
3362,2024-12-12T02:54:13Z,2014,542000,3,1,1070,8030,1,3,7,1070,0,1966
6725,2024-12-12T02:54:13Z,2015,703300,3,2,1980,3525,1,4,8,1590,390,1932
15722,2024-12-12T02:54:13Z,2015,1675000,5,3,4560,19080,1,5,9,2490,2070,1963
5819,2024-12-12T02:54:13Z,2015,570000,3,1,2390,9000,1,3,8,1500,890,1975
3979,2024-12-12T02:54:13Z,2014,218000,3,1,1140,7560,1,4,6,1140,0,1958
10675,2024-12-12T02:54:13Z,2014,257700,4,2,1600,6202,2,4,7,1600,0,1986
918,2024-12-12T02:54:13Z,2014,270000,2,1,1000,10320,1,3,6,1000,0,1943
15000,2024-12-12T02:54:13Z,2015,289000,2,1,710,6300,1,3,6,710,0,1942
14393,2024-12-12T02:54:13Z,2015,760000,3,2,1810,4500,1,4,7,980,830,1906
1871,2024-12-12T02:54:13Z,2014,247500,4,2,2460,5921,1,4,7,1230,1230,1948
6334,2024-12-12T02:54:13Z,2015,455850,3,2,1820,6000,1,4,7,1120,700,1964
15027,2024-12-12T02:54:13Z,2014,470000,3,3,1710,2381,2,3,8,1360,350,2003
16782,2024-12-12T02:54:13Z,2014,150000,3,1,1010,25000,1,3,6,1010,0,1966
17009,2024-12-12T02:54:13Z,2014,230000,5,1,1410,9000,1,5,7,1410,0,1967
6277,2024-12-12T02:54:13Z,2014,435000,2,1,1910,12142,1,3,9,1910,0,1976
17615,2024-12-12T02:54:13Z,2015,293000,3,2,1990,7577,2,3,7,1990,0,1990
17549,2024-12-12T02:54:13Z,2014,349950,2,1,1640,4176,1,4,7,1040,600,1948
5298,2024-12-12T02:54:13Z,2014,243400,4,1,1730,7464,2,4,7,1730,0,1959
14963,2024-12-12T02:54:13Z,2015,805000,4,2,1890,4500,1,3,7,1490,400,1907
5326,2024-12-12T02:54:13Z,2015,774000,4,2,2830,10240,2,4,9,2830,0,1998
11365,2024-12-12T02:54:13Z,2014,317000,6,3,2120,5840,2,5,7,2120,0,1979
16536,2024-12-12T02:54:13Z,2015,369000,2,1,1320,6135,1,4,7,880,440,1942
9266,2024-12-12T02:54:13Z,2014,347000,2,2,1560,1705,2,3,8,1270,290,2006
287,2024-12-12T02:54:13Z,2015,405000,3,1,1670,6720,1,3,7,1140,530,1980
15435,2024-12-12T02:54:13Z,2014,500000,2,1,1760,12000,1,4,7,1760,0,1964
6925,2024-12-12T02:54:13Z,2014,345000,3,1,1240,38095,1,3,7,1240,0,1978
6865,2024-12-12T02:54:13Z,2015,550000,2,1,1070,3000,1,4,7,870,200,1926
3056,2024-12-12T02:54:13Z,2015,575000,3,2,940,5000,1,3,7,880,60,1941
11528,2024-12-12T02:54:13Z,2014,265000,2,1,1290,2828,2,3,7,1290,0,2008
18485,2024-12-12T02:54:13Z,2014,529000,3,2,1530,3400,1,3,7,990,540,1907
8218,2024-12-12T02:54:13Z,2014,490000,3,1,1560,9247,1,3,7,1160,400,1989
2405,2024-12-12T02:54:13Z,2015,603000,3,2,1700,2800,2,5,7,1150,550,1926
18466,2024-12-12T02:54:13Z,2014,285000,2,1,910,8155,1,4,6,910,0,1948
13868,2024-12-12T02:54:13Z,2014,207000,3,1,1980,18730,1,4,7,1280,700,1943
1503,2024-12-12T02:54:13Z,2015,612000,6,3,3840,14040,1,3,8,2460,1380,1949
6635,2024-12-12T02:54:13Z,2014,400000,3,2,1350,7216,1,3,7,1350,0,1964
8628,2024-12-12T02:54:13Z,2015,833450,5,4,4460,269345,2,3,9,3330,1130,1996
17060,2024-12-12T02:54:13Z,2014,700000,5,2,3100,9825,2,4,8,3100,0,1950
13103,2024-12-12T02:54:13Z,2014,453000,3,2,1650,1838,2,4,7,1270,380,1991
13095,2024-12-12T02:54:13Z,2014,666570,4,2,2320,7400,1,5,7,1620,700,1913
14416,2024-12-12T02:54:13Z,2015,510000,3,2,1830,8133,1,3,8,1390,440,1996
5953,2024-12-12T02:54:13Z,2014,705000,4,2,3000,6222,2,3,9,3000,0,2004
6380,2024-12-12T02:54:13Z,2015,356000,3,1,940,2366,1,3,6,940,0,1916
5589,2024-12-12T02:54:13Z,2014,1880000,3,2,2620,17919,1,4,9,2620,0,1949
10523,2024-12-12T02:54:13Z,2015,310000,3,1,1520,6500,1,3,7,990,530,1958
4635,2024-12-12T02:54:13Z,2014,2485000,4,2,3440,23954,1,5,10,2260,1180,1931
6033,2024-12-12T02:54:13Z,2014,500000,4,2,1700,8640,1,3,7,850,850,1955
2777,2024-12-12T02:54:13Z,2014,325900,3,2,2040,9765,2,3,8,2040,0,1985
9423,2024-12-12T02:54:13Z,2015,375000,3,1,1210,7425,1,4,6,1210,0,1910
21289,2024-12-12T02:54:13Z,2014,392000,5,2,2340,5670,2,3,7,2340,0,2009
21262,2024-12-12T02:54:13Z,2014,559000,2,3,1650,960,3,3,8,1350,300,2015
19559,2024-12-12T02:54:13Z,2014,400000,3,1,900,4084,1,3,7,900,0,1910
12965,2024-12-12T02:54:13Z,2014,672000,3,1,1220,8573,1,4,7,1220,0,1954
1395,2024-12-12T02:54:13Z,2014,545000,4,2,3410,35040,2,3,9,3410,0,1984
8526,2024-12-12T02:54:13Z,2015,320000,3,1,960,6180,1,4,6,960,0,1910
14322,2024-12-12T02:54:13Z,2014,480000,5,1,2080,217800,1,5,7,2080,0,1963
15769,2024-12-12T02:54:13Z,2014,642000,3,1,1040,4480,1,3,7,870,170,1924
13451,2024-12-12T02:54:13Z,2014,320000,4,2,2000,10051,2,3,7,2000,0,1997
749,2024-12-12T02:54:13Z,2014,435000,4,1,1510,6460,1,3,7,1070,440,1970
10520,2024-12-12T02:54:13Z,2014,230000,2,1,1080,9435,1,3,6,1080,0,1958
2168,2024-12-12T02:54:13Z,2015,345000,5,2,1940,4182,1,3,7,1240,700,2002
18674,2024-12-12T02:54:13Z,2014,275000,3,2,2030,6326,2,3,7,2030,0,1993
6341,2024-12-12T02:54:13Z,2015,490000,3,2,2040,9622,2,3,8,2040,0,1995
6484,2024-12-12T02:54:13Z,2015,425500,4,1,1520,10630,1,4,7,1520,0,1967
1497,2024-12-12T02:54:13Z,2014,499950,3,3,1820,1991,2,3,8,1430,390,2014
15816,2024-12-12T02:54:13Z,2015,230500,2,1,740,8853,1,3,6,740,0,1943
14130,2024-12-12T02:54:13Z,2014,385000,2,1,1010,4000,1,3,6,1010,0,1911
20242,2024-12-12T02:54:13Z,2015,392440,4,2,2547,4800,2,3,9,2547,0,2014
11558,2024-12-12T02:54:13Z,2015,804000,4,2,2620,5060,2,3,9,2620,0,2005
15676,2024-12-12T02:54:13Z,2014,346000,3,1,1590,9636,1,4,6,1590,0,1953
10772,2024-12-12T02:54:13Z,2015,725000,4,2,2750,13950,1,4,8,1380,1370,1948
18388,2024-12-12T02:54:13Z,2014,474000,2,1,1090,3160,1,3,7,840,250,1926
10385,2024-12-12T02:54:13Z,2014,1228000,4,2,5730,44947,2,3,11,4280,1450,1991
12687,2024-12-12T02:54:13Z,2015,209950,3,1,2290,9600,1,4,7,2290,0,1967
2393,2024-12-12T02:54:13Z,2014,449950,4,3,2800,6977,2,3,8,2800,0,2003
18812,2024-12-12T02:54:13Z,2014,345000,3,1,3140,8571,1,4,8,1670,1470,1985
4456,2024-12-12T02:54:13Z,2015,790000,2,1,1940,4400,1,3,7,970,970,1923
20557,2024-12-12T02:54:13Z,2015,258800,2,1,1290,1624,2,3,8,1290,0,2014
19266,2024-12-12T02:54:13Z,2014,302000,2,1,890,5000,1,4,6,890,0,1947
13735,2024-12-12T02:54:13Z,2015,1015000,5,2,2350,4000,2,3,9,2350,0,1993
15380,2024-12-12T02:54:13Z,2015,375000,4,2,1430,7403,1,3,7,1030,400,1982
2618,2024-12-12T02:54:13Z,2014,1165000,3,3,3790,5001,2,3,10,2810,980,1989
14776,2024-12-12T02:54:13Z,2015,472500,3,2,1790,6800,1,4,7,1240,550,1964
3884,2024-12-12T02:54:13Z,2015,440000,3,1,2840,16851,1,3,8,1600,1240,1950
12855,2024-12-12T02:54:13Z,2014,435000,3,2,2360,12744,2,5,7,2360,0,1964
18001,2024-12-12T02:54:13Z,2015,300000,3,2,2340,12282,1,3,8,1470,870,1978
12494,2024-12-12T02:54:13Z,2014,660000,3,2,2080,5750,1,5,7,1040,1040,1926
15421,2024-12-12T02:54:13Z,2014,685000,4,2,2770,45514,2,4,9,2770,0,1989
18273,2024-12-12T02:54:13Z,2014,921000,4,1,2220,9496,1,4,7,1490,730,1954
4951,2024-12-12T02:54:13Z,2015,386500,4,2,3110,5048,2,3,8,3110,0,2002
18168,2024-12-12T02:54:13Z,2014,252000,3,1,1170,9730,1,3,7,1170,0,1968
17591,2024-12-12T02:54:13Z,2014,355000,3,1,1360,8968,1,3,7,1360,0,1956
3167,2024-12-12T02:54:13Z,2014,700000,2,1,1160,17635,1,3,6,1160,0,1945
4651,2024-12-12T02:54:13Z,2014,125000,1,1,500,7440,1,1,5,500,0,1928
2527,2024-12-12T02:54:13Z,2014,627000,4,2,1990,7712,1,3,8,1210,780,1973
1432,2024-12-12T02:54:13Z,2014,265000,2,1,760,4000,1,4,6,760,0,1950
10741,2024-12-12T02:54:13Z,2014,205000,3,0,1080,5025,1,3,5,1080,0,1948
12731,2024-12-12T02:54:13Z,2014,575000,2,1,1230,2726,1,3,7,880,350,1920
6487,2024-12-12T02:54:13Z,2015,410000,5,2,2910,16410,1,4,8,2910,0,1967
1865,2024-12-12T02:54:13Z,2015,370000,4,2,2100,19680,1,3,6,2100,0,1914
18506,2024-12-12T02:54:13Z,2014,340000,3,1,1730,11986,1,5,6,1730,0,1918
1040,2024-12-12T02:54:13Z,2015,218500,2,1,1600,8961,1,4,7,1390,210,1949
16265,2024-12-12T02:54:13Z,2014,847000,5,1,2550,4623,2,4,9,2550,0,1905
3633,2024-12-12T02:54:13Z,2014,406500,3,2,1840,68479,1,3,8,1340,500,1989
16055,2024-12-12T02:54:13Z,2014,500000,4,2,2350,7210,1,4,7,2350,0,1972
14583,2024-12-12T02:54:13Z,2014,417000,3,1,1340,10224,1,4,7,1340,0,1956
5063,2024-12-12T02:54:13Z,2014,1100000,4,3,5070,60123,2,3,11,5070,0,2000
919,2024-12-12T02:54:13Z,2014,290000,5,1,2120,7700,1,5,7,2120,0,1962
19578,2024-12-12T02:54:13Z,2015,270950,2,1,780,6250,1,3,6,780,0,1942
3745,2024-12-12T02:54:13Z,2014,740000,6,2,3140,10250,1,4,8,1570,1570,1959
3039,2024-12-12T02:54:13Z,2015,2298000,4,4,4070,13860,2,3,10,4070,0,2004
19472,2024-12-12T02:54:13Z,2014,216500,3,1,1020,11652,1,4,6,1020,0,1971
20362,2024-12-12T02:54:13Z,2014,420000,5,3,2630,3149,2,3,8,1670,960,2013
19635,2024-12-12T02:54:13Z,2014,921800,4,2,2950,7024,2,3,10,2950,0,2012
1322,2024-12-12T02:54:13Z,2014,279950,3,1,1510,11234,1,3,7,1210,300,1965
19718,2024-12-12T02:54:13Z,2014,495000,4,2,2980,12075,1,3,8,1910,1070,2007
8283,2024-12-12T02:54:13Z,2014,296000,2,2,1320,2040,3,3,7,1320,0,1997
18905,2024-12-12T02:54:13Z,2014,400000,3,1,1000,7800,1,4,6,860,140,1930
5065,2024-12-12T02:54:13Z,2014,1085000,3,1,2560,4000,1,5,8,1660,900,1927
7285,2024-12-12T02:54:13Z,2015,474950,4,1,2030,15400,1,3,9,1130,900,1975
1664,2024-12-12T02:54:13Z,2014,830000,3,2,3370,6550,2,4,8,2840,530,1912
8484,2024-12-12T02:54:13Z,2014,240000,0,2,1810,5669,2,3,7,1810,0,2003
20809,2024-12-12T02:54:13Z,2014,799900,4,4,3650,18223,2,3,9,3330,320,2013
7790,2024-12-12T02:54:13Z,2014,182000,3,1,1060,7350,1,4,7,1060,0,1959
8593,2024-12-12T02:54:13Z,2014,1150000,3,2,3250,34848,1,3,10,2260,990,2006
4696,2024-12-12T02:54:13Z,2014,1075000,5,4,5180,17811,2,3,11,4070,1110,2001
17027,2024-12-12T02:54:13Z,2014,445000,4,2,1700,21780,1,4,6,1080,620,1940
17974,2024-12-12T02:54:13Z,2015,200000,3,1,1200,10703,1,2,7,1200,0,1918
12845,2024-12-12T02:54:13Z,2015,737000,3,2,2300,7800,2,3,9,2300,0,1997
17423,2024-12-12T02:54:13Z,2015,565000,4,2,2040,8281,2,3,7,2040,0,1961
19095,2024-12-12T02:54:13Z,2014,665000,3,1,1650,5102,1,4,8,1300,350,1953
1275,2024-12-12T02:54:13Z,2014,363000,2,2,920,1201,2,3,8,800,120,2009
8043,2024-12-12T02:54:13Z,2015,480000,3,1,2920,21375,1,3,8,1850,1070,1961
11299,2024-12-12T02:54:13Z,2014,740000,4,1,2010,3600,1,3,7,2010,0,1902
12022,2024-12-12T02:54:13Z,2014,432500,3,2,2240,6396,2,3,7,2240,0,2002
5746,2024-12-12T02:54:13Z,2015,267000,3,2,2510,9900,1,3,8,1610,900,1978
17605,2024-12-12T02:54:13Z,2014,183000,3,1,870,5200,1,5,6,870,0,1969
4847,2024-12-12T02:54:13Z,2015,440000,3,2,2160,3738,2,3,8,2160,0,1994
12923,2024-12-12T02:54:13Z,2014,590000,4,2,2660,35010,2,3,9,2660,0,1993
7557,2024-12-12T02:54:13Z,2014,578000,3,1,1500,4500,1,3,7,1120,380,1938
5768,2024-12-12T02:54:13Z,2015,638250,4,2,2460,8029,2,3,9,2460,0,1989
7670,2024-12-12T02:54:13Z,2015,694000,2,2,2320,9311,1,3,8,2320,0,2007
16692,2024-12-12T02:54:13Z,2015,540000,3,2,1670,3135,2,3,8,1220,450,2002
11755,2024-12-12T02:54:13Z,2014,250000,3,2,1440,5457,2,3,7,1440,0,1986
7789,2024-12-12T02:54:13Z,2014,245000,4,1,2020,8800,1,4,8,2020,0,1969
11688,2024-12-12T02:54:13Z,2014,597500,3,1,2030,32565,1,3,8,1600,430,1981
5702,2024-12-12T02:54:13Z,2014,2466350,5,4,6390,13180,2,3,10,4560,1830,1940
13791,2024-12-12T02:54:13Z,2014,705000,2,2,1650,6840,1,5,7,1650,0,1916
15292,2024-12-12T02:54:13Z,2015,324800,2,1,1170,5043,1,3,6,880,290,1949
11610,2024-12-12T02:54:13Z,2015,625000,4,1,2120,5000,2,4,8,2120,0,1900
6194,2024-12-12T02:54:13Z,2014,350000,4,2,2260,13755,1,4,9,2260,0,1975
5348,2024-12-12T02:54:13Z,2015,767500,4,2,2350,4815,1,4,7,1450,900,1914
12467,2024-12-12T02:54:13Z,2014,728000,4,2,2650,13684,2,3,9,2650,0,1994
14431,2024-12-12T02:54:13Z,2015,735000,3,1,2250,11520,1,3,8,2250,0,1956
9732,2024-12-12T02:54:13Z,2014,550000,7,4,3440,8100,2,3,7,3440,0,1970
21024,2024-12-12T02:54:13Z,2015,870000,5,3,4495,10079,2,3,9,3580,915,2013
7434,2024-12-12T02:54:13Z,2015,312500,4,2,2160,8755,2,3,7,2160,0,1993
2646,2024-12-12T02:54:13Z,2014,656000,3,1,1480,7475,1,3,8,1480,0,1943
19439,2024-12-12T02:54:13Z,2014,505000,2,3,2770,10800,1,5,8,1910,860,1984
